year,age,length_mm,dry_weight_mg
2016,17,15.038,12.002083678315547
2016,8,11.279,3.892215440104513
2016,8,8.938,1.565537434447387
2016,5,7.311,0.7128966833143918
2016,19,15.749,14.381457879577047
2016,11,9.765,2.2137283897294764
2016,12,12.605,6.014267534053673
2016,15,12.206,5.3026408310418685
2016,17,12.282,5.4330785562563
2016,17,14.772,11.192119556221513
2016,16,15.403,13.183547706306674
2016,16,14.017,9.114064491584768
2016,9,13.979,9.017713552670699
2016,14,12.997,6.780368473122228
2016,7,10.655,3.1147934863112203
2016,8,9.916,2.3507960568009993
2016,15,12.694,6.182236133627676
2016,12,10.916,3.4243345950576467
2016,11,12.128,5.171209794887049
2016,17,14.997,11.8744821183879
2016,17,14.345,9.977923009794722
2016,13,15.338,12.96707660785764
2016,11,15.459,13.372193587171425
2016,13,11.787,4.6248892807189685
2016,18,12.113,5.146215376947305
2016,9,11.367,4.012462874451904
2016,15,12.026,5.003017031105713
2016,11,8.534,1.3062312365184403
2016,6,7.591,0.8259010849920885
2016,9,10.833,3.3235239645294894
2016,13,15.789,14.524989966489784
2016,7,7.847,0.940420927764773
2016,13,10.181,2.606495910184355
2016,18,14.716,11.026926267216751
2016,13,11.275,3.886814199266817
2016,17,15.117,12.2508256851298
2016,11,10.947,3.4625645032975885
2016,11,12.184,5.265321639944699
2016,11,9.487,1.9770476243317636
2016,2,9.742,2.1933851333335475
2016,9,11.345,3.9821453102807034
2016,13,12.471,5.767810633865311
2016,10,15.438,13.301217451932574
2016,14,13.613,8.128057860121865
2016,12,13.639,8.18900408481734
2016,9,9.465,1.9591591005105535
2016,14,14.805,11.290324312193881
2016,11,15.448,13.334980536475255
2016,9,9.278,1.811929670471705
2016,9,9.258,1.796686195539848
2016,17,14.32,9.91001702479723
2016,10,10.847,3.3403711677034313
2016,13,13.067,6.924462997846837
2016,9,9.909,2.34430580762145
2016,11,10.998,3.526149170625556
2016,6,7.691,0.8693210415588334
2016,15,12.716,6.224289270488423
2016,7,9.278,1.811929670471705
2016,5,8.989,1.6008017101584198
2016,11,9.374,1.8864428870849081
2016,11,14.155,9.470428743702756
2016,10,10.517,2.959812306658254
2016,14,10.185,2.610507412540389
2016,12,13.58,8.051190164491878
2016,10,11.895,4.7930205692271235
2016,10,10.056,2.4834327065277693
2016,5,6.368,0.4151733271858441
2016,6,10.731,3.202682215305008
2016,8,10.516,2.9587106560544947
2016,13,10.926,3.436632305215001
2016,10,10.712,3.180539131801055
2016,4,6.448,0.43596986685334616
2016,10,10.408,2.8415179269799977
2016,14,9.355,1.8715176630140664
2016,6,6.31,0.400564471695666
2016,11,5.868,0.30143678349413405
2016,7,7.438,0.7626203791057456
2016,8,7.491,0.7841168575416477
2016,7,6.417,0.4278213157489816
2016,4,5.581,0.24770515989005312
2016,8,6.136,0.35902825986544873
2016,8,5.919,0.3118241421242569
2016,8,6.205,0.37509526057266646
2016,7,6.467,0.4410209148616299
2016,6,5.844,0.29663879388195685
2016,6,6.009,0.33080199035242575
2016,6,5.353,0.21038544603615408
2016,6,5.707,0.27033003849096837
2016,7,9.702,2.1583375097588413
2016,2,6.478,0.4439650468829945
2016,14,13.772,8.506106092512697
2016,8,10.569,3.017520265654956
2016,12,11.763,4.588131271484963
